STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,382274496,9844612,0.03,372429884,
2,AAM,0.49,6049741,121266,0.01,5928475,
3,AAT,0.50,31900744,135694,0.00,31765050,
4,ABR,1.00,20000000,9751300,0.49,10248700,
5,ABS,0.00,0,1489,0.00,-1489,
6,ABT,0.49,7049731,243614,0.02,6806117,
7,ACB,0.30,1013230528,1013230528,0.30,0,
8,ACC,0.49,51449996,8605903,0.08,42844093,
9,ACG,0.50,67923061,52286769,0.38,15636292,
10,ACL,0.40,19832876,1429798,0.03,18403078,
11,ADG,0.65,13897338,9768821,0.46,4128517,
12,ADS,0.50,21889517,1761,0.00,21713417,
13,AGG,0.50,62559184,6088181,0.05,56471003,
14,AGM,0.00,0,34657,0.02,-34657,
15,AGR,1.00,212000000,551053,0.00,211448947,
16,AMD,0.49,80117388,1360094,0.01,78757294,
17,ANV,0.49,62494416,7602297,0.06,54892119,
18,APC,0.49,9859483,3062225,0.15,6797258,
19,APG,1.00,146306612,1075977,0.01,145230635,
20,APH,1.00,251199148,75654670,0.30,175544478,
21,ASG,0.30,22696167,643028,0.01,22053139,
22,ASM,0.49,164898108,8914752,0.03,155983356,
23,ASP,0.49,18296565,18296565,0.49,0,
24,AST,0.49,22050000,20182658,0.45,1867342,
25,ATP,1.00,15000000,0,0.00,15000000,(*)
26,BAF,0.50,71760000,484346,0.00,71275654,
27,BBC,0.50,9376343,155642,0.01,9220701,
28,BCE,0.49,17150000,479117,0.01,16670883,
29,BCG,0.50,266733811,10195019,0.02,256538792,
30,BCM,0.49,507150000,28755235,0.03,478394765,
31,BFC,0.49,28012316,2498000,0.04,25514316,
32,BHN,0.49,113582000,40783820,0.18,72798180,
33,BIC,0.49,57465678,55236952,0.47,2228726,
34,BID,0.30,1517557144,872116845,0.17,645440299,
35,BKG,0.50,34099991,10441,0.00,33995581,
36,BMC,0.49,6072388,778059,0.06,5294329,
37,BMI,0.49,53715752,37359318,0.34,16356434,
38,BMP,1.00,81860938,69911791,0.85,11949147,
39,BRC,0.50,6187498,6532,0.01,6122178,
40,BSI,1.00,187800120,70161169,0.37,117638951,
41,BTP,0.49,29637944,5857440,0.10,23780504,
42,BTT,0.49,6615000,665343,0.05,5949657,
43,BVH,0.49,363738154,202731471,0.27,161006683,
44,BWE,0.49,94530800,35675849,0.18,58854951,
45,C32,0.49,7364771,673015,0.04,6691756,
46,C47,0.00,0,12699,0.00,-12699,
47,CACB2207,1.00,20000000,0,0.00,20000000,
48,CACB2208,1.00,10000000,0,0.00,10000000,
49,CAV,0.49,28224000,128244,0.00,28095756,
50,CCI,0.00,0,4247,0.02,-4247,
51,CCL,0.50,26599789,482499,0.01,26117290,
52,CDC,0.49,10774470,203349,0.01,10571121,
53,CFPT2209,1.00,15000000,200,0.00,14999800,
54,CFPT2210,1.00,11000000,0,0.00,11000000,
55,CFPT2211,1.00,7000000,0,0.00,7000000,
56,CFPT2212,1.00,8000000,0,0.00,8000000,
57,CFPT2213,1.00,10000000,1,0.00,9999000,
58,CFPT2214,1.00,7000000,0,0.00,7000000,
59,CFPT2301,1.00,1500000,0,0.00,1500000,
60,CHDB2208,1.00,4000000,1807000,0.45,2193000,
61,CHDB2210,1.00,3000000,2170800,0.72,8292,
62,CHP,0.00,0,5615047,0.04,-5615047,
63,CHPG2215,1.00,10000000,1023,0.01,9897700,
64,CHPG2219,1.00,6000000,5598300,0.93,4017,
65,CHPG2221,1.00,47000000,2766,0.01,46723400,
66,CHPG2222,1.00,27000000,0,0.00,27000000,(*)
67,CHPG2223,1.00,20000000,0,0.00,20000000,
68,CHPG2224,1.00,8000000,3679700,0.46,4320300,
69,CHPG2225,1.00,18000000,100,0.00,17999900,
70,CHPG2226,1.00,15000000,0,0.00,15000000,
71,CHPG2227,1.00,15000000,581,0.00,14941900,
72,CHPG2301,1.00,2500000,0,0.00,2500000,
73,CHPG2302,1.00,1500000,0,0.00,1500000,
74,CHPG2303,1.00,3000000,0,0.00,3000000,
75,CIG,0.49,15454574,17113,0.00,15437461,
76,CII,0.49,139166060,24573385,0.09,114592675,
77,CKDH2209,1.00,4000000,0,0.00,4000000,
78,CKDH2212,1.00,3000000,1185400,0.40,1814600,
79,CKG,0.00,0,32561,0.00,-32561,
80,CLC,0.49,12841715,633861,0.02,12207854,
81,CLL,0.49,16660000,2544561,0.07,14115439,
82,CLW,0.49,6370000,63299,0.05,5737010,
83,CMBB2210,1.00,14000000,0,0.00,14000000,
84,CMBB2211,1.00,19000000,500,0.03,18500000,
85,CMBB2212,1.00,1260000,938,0.07,1166200,
86,CMBB2213,1.00,9000000,0,0.00,9000000,
87,CMBB2214,1.00,10000000,15,0.00,9998500,
88,CMBB2215,1.00,10000000,0,0.00,10000000,
89,CMBB2301,1.00,2500000,0,0.00,2500000,
90,CMBB2302,1.00,1000000,0,0.00,1000000,
91,CMG,0.50,75298016,64207220,0.43,11090796,
92,CMSN2209,1.00,4000000,1736900,0.43,2263100,
93,CMSN2212,1.00,3000000,1999800,0.67,1000200,
94,CMSN2213,1.00,5000000,0,0.00,5000000,
95,CMSN2214,1.00,3000000,20,0.01,2980000,
96,CMSN2215,1.00,7000000,0,0.00,7000000,
97,CMV,0.00,0,38388,0.00,-38388,
98,CMWG2210,1.00,1300000,1446,0.11,1155400,
99,CMWG2212,1.00,16000000,0,0.00,16000000,
100,CMWG2213,1.00,9000000,665,0.01,8933500,
101,CMWG2214,1.00,7000000,5,0.00,6995000,
102,CMWG2215,1.00,7000000,40,0.01,6960000,
103,CMX,0.50,50949495,13209324,0.13,37740171,
104,CNG,0.49,13230000,2315933,0.09,10914067,
105,CNVL2208,1.00,5000000,335,0.07,4665000,
106,CNVL2210,1.00,6000000,21,0.00,5997900,
107,COM,0.49,6919107,4936,0.00,6869747,
108,CPDR2205,1.00,4000000,600,0.00,3999400,
109,CPDR2206,1.00,3000000,400,0.00,2999600,
110,CPOW2204,1.00,5000000,2640100,0.53,2359900,
111,CPOW2208,1.00,8000000,7772700,0.97,2273,
112,CPOW2209,1.00,8000000,6040900,0.76,1959100,
113,CPOW2210,1.00,2000000,0,0.00,2000000,
114,CRC,0.50,15000000,10707,0.00,14892930,
115,CRE,0.50,231839267,5210734,0.01,226628533,
116,CRV,0.50,336208320,0,0.00,336208320,(*)
117,CSM,0.50,51813233,765535,0.01,51047698,
118,CSTB2215,1.00,10000000,8246200,0.82,1753800,
119,CSTB2218,1.00,12000000,0,0.00,12000000,
120,CSTB2219,1.00,18000000,0,0.00,18000000,(*)
121,CSTB2220,1.00,20000000,500,0.00,19999500,
122,CSTB2222,1.00,5000000,4728800,0.95,2712,
123,CSTB2223,1.00,5000000,4738500,0.95,2615,
124,CSTB2224,1.00,15000000,0,0.00,15000000,
125,CSTB2225,1.00,10000000,0,0.00,10000000,
126,CSV,0.50,22100000,2588244,0.06,19511756,
127,CTCB2211,1.00,15000000,1496000,0.10,13504000,
128,CTCB2212,1.00,11000000,1615000,0.15,9385000,
129,CTCB2213,1.00,15000000,0,0.00,15000000,
130,CTCB2214,1.00,4500000,50,0.01,4450000,
131,CTCB2215,1.00,10000000,0,0.00,10000000,
132,CTCB2216,1.00,10000000,0,0.00,10000000,
133,CTD,0.49,38627092,38785560,0.49,-158468,
134,CTF,0.49,37248595,756739,0.01,36491856,
135,CTG,0.30,1441725182,1348532685,0.28,93192497,
136,CTI,0.49,30869998,437435,0.01,30432563,
137,CTPB2204,1.00,1500000,0,0.00,1500000,
138,CTR,0.49,56049080,12347333,0.11,43701747,
139,CTS,0.49,72881772,2598080,0.02,70283692,
140,CVHM2211,1.00,10000000,9591900,0.96,4081,
141,CVHM2213,1.00,4000000,3741200,0.94,2588,
142,CVHM2215,1.00,11000000,0,0.00,11000000,
143,CVHM2216,1.00,11000000,0,0.00,11000000,
144,CVHM2217,1.00,3000000,408,0.01,2959200,
145,CVHM2218,1.00,9000000,10,0.00,8990000,
146,CVHM2219,1.00,7000000,14,0.00,6986000,
147,CVHM2220,1.00,7000000,14,0.00,6986000,
148,CVIB2201,1.00,7000000,39,0.00,6996100,
149,CVJC2204,1.00,4000000,942,0.02,3905800,
150,CVJC2206,1.00,3000000,1447800,0.48,1552200,
151,CVNM2207,1.00,4000000,3188700,0.80,8113,
152,CVNM2209,1.00,3000000,2547700,0.85,4523,
153,CVNM2210,1.00,5000000,0,0.00,5000000,
154,CVNM2211,1.00,6000000,0,0.00,6000000,
155,CVNM2212,1.00,7000000,0,0.00,7000000,
156,CVPB2211,1.00,9000000,0,0.00,9000000,
157,CVPB2212,1.00,13000000,299,0.02,12701000,
158,CVPB2213,1.00,7000000,0,0.00,7000000,
159,CVPB2214,1.00,10000000,2,0.00,9998000,
160,CVPB2301,1.00,2000000,0,0.00,2000000,
161,CVRE2211,1.00,10000000,8787600,0.88,1212400,
162,CVRE2213,1.00,4000000,3879400,0.97,1206,
163,CVRE2215,1.00,9000000,0,0.00,9000000,
164,CVRE2216,1.00,11000000,500,0.00,10999500,
165,CVRE2217,1.00,7000000,0,0.00,7000000,
166,CVRE2218,1.00,4000000,3122500,0.78,8775,
167,CVRE2219,1.00,4500000,3291,0.07,4170900,
168,CVRE2220,1.00,7000000,2,0.00,6998000,
169,CVRE2221,1.00,7000000,0,0.00,7000000,
170,CVT,0.50,18345443,173753,0.00,18171690,
171,D2D,0.50,15152379,1218227,0.04,13934152,
172,DAG,0.49,29186414,222582,0.00,28963832,
173,DAH,0.00,0,109505,0.00,-109505,
174,DAT,0.00,0,10937,0.00,-10937,
175,DBC,0.49,118580910,15469608,0.06,103111302,
176,DBD,1.00,74883559,6618436,0.09,68265123,
177,DBT,0.00,0,391029,0.03,-391029,
178,DC4,0.50,26249861,5329,0.00,26196571,
179,DCL,0.00,0,963211,0.01,-963211,
180,DCM,0.49,259406000,54648836,0.10,204757164,
181,DGC,0.49,186091850,59094420,0.16,126997430,
182,DGW,0.49,79982672,43536719,0.27,36445953,
183,DHA,0.49,7408773,2764979,0.18,4643794,
184,DHC,0.49,39441593,27873227,0.35,11568366,
185,DHG,1.00,130746071,71050071,0.54,59696000,
186,DHM,0.00,0,42639,0.00,-42639,
187,DIG,0.49,298827477,30133623,0.05,268693854,
188,DLG,0.49,146661762,4512751,0.02,142149011,
189,DMC,1.00,34727465,19219084,0.55,15508381,
190,DPG,0.49,30869781,1016695,0.02,29853086,
191,DPM,0.49,191786000,71721876,0.18,120064124,
192,DPR,0.50,21500000,1213267,0.03,20286733,
193,DQC,0.49,16836113,267218,0.01,16568895,
194,DRC,0.49,58208376,10070245,0.08,48138131,
195,DRH,0.50,62176933,827506,0.01,61349427,
