STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,7258976,0.02,319175520,
2,AAM,0.49,6049741,118449,0.01,5931292,
3,AAT,0.50,31900744,217736,0.00,31683008,
4,ABR,1.00,20000000,9750100,0.49,10249900,
5,ABS,0.00,0,1789,0.00,-1789,
6,ABT,0.49,6912531,248625,0.02,6663906,
7,ACB,0.30,810584422,810584688,0.30,-266,
8,ACC,0.49,51449996,8746424,0.08,42703572,
9,ACL,0.40,19832876,1270075,0.03,18562801,
10,ADG,0.65,12927913,8959224,0.45,3968689,
11,ADS,0.50,19034725,649792,0.02,18384933,
12,AGG,0.50,55856597,11664563,0.10,44192034,
13,AGM,0.00,0,34917,0.02,-34917,
14,AGR,0.49,103880000,972969,0.00,102907031,
15,AMD,0.49,80117388,1657595,0.01,78459793,
16,ANV,0.49,62494416,3077664,0.02,59416752,
17,APC,0.49,9859483,3068055,0.15,6791428,
18,APG,1.00,146306612,2743864,0.02,143562748,
19,APH,1.00,251199148,82406328,0.33,168792820,
20,ASG,0.30,22696167,647228,0.01,22048939,
21,ASM,0.49,164898108,6871856,0.02,158026252,
22,ASP,0.49,18296565,18296493,0.49,72,
23,AST,0.49,22050000,19161007,0.43,2888993,
24,ATP,1.00,15000000,0,0.00,15000000,(*)
25,BAF,0.50,39000000,4846,0.01,38515400,
26,BBC,0.50,9376343,16406,0.01,9212283,
27,BCE,0.49,17150000,496572,0.01,16653428,
28,BCG,0.50,251652718,13860187,0.03,237792531,
29,BCM,0.49,507150000,27413500,0.03,479736500,
30,BFC,0.49,28012316,2651638,0.05,25360678,
31,BHN,0.49,113582000,40423430,0.17,73158570,
32,BIC,0.49,57465678,54470377,0.46,2995301,
33,BID,0.30,1517557144,850861501,0.17,666695643,
34,BKG,0.49,30380000,162,0.00,30218000,
35,BMC,0.49,6072388,816988,0.07,5255400,
36,BMI,0.49,53715752,33891835,0.31,19823917,
37,BMP,1.00,81860938,70215588,0.86,11645350,
38,BRC,0.00,0,7942,0.01,-7942,
39,BSI,1.00,122070078,2798447,0.02,119271631,
40,BTP,0.49,29637944,5556670,0.09,24081274,
41,BTT,0.49,6615000,648143,0.05,5966857,
42,BVH,0.49,363738154,195241902,0.26,168496252,
43,BWE,0.49,94530800,36532070,0.19,57998730,
44,C32,0.49,7364771,667832,0.04,6696939,
45,C47,0.00,0,19044,0.00,-19044,
