STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,8078987,0.02,318355509,
2,AAM,0.49,6049741,124468,0.01,5925273,
3,AAT,0.50,19400744,71472,0.00,19329272,
4,ABS,0.00,0,1789,0.00,-1789,
5,ABT,0.49,6912531,249796,0.02,6662735,
6,ACB,0.30,810584422,810584547,0.30,-125,
7,ACC,0.49,14700000,3058127,0.10,11641873,
8,ACL,0.40,19832876,1478701,0.03,18354175,
9,ADG,0.65,12927913,8836668,0.44,4091245,
10,ADS,0.50,14034725,502707,0.02,13532018,
11,AGG,0.50,41375288,9161756,0.11,32213532,
12,AGM,0.00,0,1150170,0.06,-1150170,
13,AGR,0.49,103880000,1212179,0.01,102667821,
14,AMD,0.49,80117388,1566095,0.01,78551293,
15,ANV,0.49,62494416,1944811,0.02,60549605,
16,APC,0.49,9859483,3170839,0.16,6688644,
17,APG,1.00,73153306,560061,0.01,72593245,
18,APH,1.00,202422322,72331336,0.36,130090986,
19,ASG,0.30,22696167,619128,0.01,22077039,
20,ASM,0.49,126845246,3738700,0.01,123106546,
21,ASP,0.49,18296565,18293593,0.49,2972,
22,AST,0.49,22050000,19176402,0.43,2873598,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BAF,0.50,39000000,0,0.00,39000000,(*)
25,BBC,0.50,7710391,175712,0.01,7534679,
26,BCE,0.49,17150000,1241772,0.04,15908228,
27,BCG,0.36,106458800,7743404,0.03,98715396,
28,BCM,0.49,507150000,19230660,0.02,487919340,
29,BFC,0.49,28012316,2158838,0.04,25853478,
30,BHN,0.49,113582000,40403230,0.17,73178770,
31,BIC,0.49,57465678,54502607,0.46,2963071,
32,BID,0.30,1206605412,671476957,0.17,535128455,
33,BID10406,1.00,3500620,0,0.00,3500620,
34,BKG,0.49,15680000,4061,0.01,15273900,
35,BMC,0.49,6072388,970381,0.08,5102007,
36,BMI,0.49,53715752,32943841,0.30,20771911,
37,BMP,1.00,81860938,69101101,0.84,12759837,
38,BRC,0.49,6063748,9182,0.01,5971928,
39,BSI,0.49,59814338,2146224,0.02,57668114,
40,BTP,0.49,29637944,5579770,0.09,24058174,
41,BTT,0.49,6615000,633843,0.05,5981157,
42,BVH,0.49,363738154,196401102,0.26,167337052,
43,BWE,0.49,94530800,36154420,0.19,58376380,
44,C32,0.49,7364771,576179,0.04,6788592,
45,C47,0.49,10549456,230651,0.01,10318805,
46,CACB2101,1.00,4000000,0,0.00,4000000,
47,CACB2102,1.00,15000000,0,0.00,15000000,
48,CAV,0.49,28224000,111298,0.00,28112702,
49,CCI,0.00,0,43175,0.02,-43175,
50,CCL,0.49,23274943,494616,0.01,22780327,
51,CDC,0.49,10774470,295723,0.01,10478747,
52,CEE,0.49,20335000,135,0.00,20333650,
53,CFPT2102,1.00,1000000,93,0.01,9907,
54,CFPT2103,1.00,5000000,500,0.00,4999500,
55,CFPT2104,1.00,7000000,2,0.00,6998000,
56,CFPT2105,1.00,18000000,662,0.00,17933800,
57,CFPT2106,1.00,2000000,0,0.00,2000000,
58,CFPT2107,1.00,6000000,400,0.00,5999600,
59,CFPT2108,1.00,1500000,0,0.00,1500000,
60,CFPT2109,1.00,10000000,18,0.00,9982000,
61,CFPT2110,1.00,17000000,105,0.00,16989500,
62,CHDB2102,1.00,4000000,2552,0.06,3744800,
63,CHDB2103,1.00,3000000,607,0.02,2939300,
64,CHP,0.49,71987207,5628308,0.04,66358899,
65,CHPG2109,1.00,3000000,1,0.00,2999000,
66,CHPG2110,1.00,10000000,3,0.00,9997000,
67,CHPG2111,1.00,37500000,13,0.00,37498700,
68,CHPG2112,1.00,3000000,70,0.02,2930000,
69,CHPG2113,1.00,10000000,0,0.00,10000000,
70,CHPG2114,1.00,10000000,0,0.00,10000000,
71,CHPG2115,1.00,7000000,0,0.00,7000000,
72,CHPG2116,1.00,2500000,0,0.00,2500000,
73,CHPG2117,1.00,22000000,2,0.00,21998000,
74,CHPG2118,1.00,8000000,8000000,1.00,0,
75,CIG,0.49,15454574,4233,0.00,15450341,
76,CII,0.49,138772693,57593036,0.20,81179657,
77,CKDH2103,1.00,4000000,1361500,0.34,2638500,
78,CKDH2104,1.00,6500000,395,0.01,6460500,
79,CKDH2105,1.00,2000000,0,0.00,2000000,
80,CKDH2106,1.00,3000000,0,0.00,3000000,
81,CKDH2107,1.00,3000000,1641800,0.55,1358200,
82,CKG,0.49,40424892,776932,0.01,39647960,
83,CLC,0.49,12841715,508776,0.02,12332939,
84,CLL,0.49,16660000,2471461,0.07,14188539,
85,CLW,0.49,6370000,62249,0.05,5747510,
86,CMBB2103,1.00,5000000,0,0.00,5000000,
