STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,8155876,0.03,318278620,
2,AAM,0.49,6049741,141349,0.01,5908392,
3,AAT,0.50,31900744,412084,0.01,31488660,
4,ABR,1.00,20000000,9749600,0.49,10250400,(*)
5,ABS,0.00,0,1789,0.00,-1789,
6,ABT,0.49,6912531,243825,0.02,6668706,
7,ACB,0.30,810584422,810584447,0.30,-25,
8,ACC,0.49,14700000,1088557,0.04,13611443,
9,ACL,0.40,19832876,1446007,0.03,18386869,
10,ADG,0.65,12927913,8953314,0.45,3974599,
11,ADS,0.50,19034725,50964,0.01,18525085,
12,AGG,0.50,41375288,8879306,0.11,32495982,
13,AGM,0.00,0,1149570,0.06,-1149570,
14,AGR,0.49,103880000,832339,0.00,103047661,
15,AMD,0.49,80117388,3518295,0.02,76599093,
16,ANV,0.49,62494416,1612364,0.01,60882052,
17,APC,0.49,9859483,3127245,0.16,6732238,
18,APG,1.00,146306612,1505164,0.01,144801448,
19,APH,1.00,202422322,71102502,0.35,131319820,
20,ASG,0.30,22696167,620628,0.01,22075539,
21,ASM,0.49,126845246,6177746,0.02,120667500,
22,ASP,0.49,18296565,18293493,0.49,3072,
23,AST,0.49,22050000,19154507,0.43,2895493,
24,ATP,1.00,15000000,0,0.00,15000000,(*)
25,BAF,0.50,39000000,8,0.00,38992000,
26,BBC,0.50,9376343,16646,0.01,9209883,
27,BCE,0.49,17150000,500072,0.01,16649928,
28,BCG,0.50,223152718,7902774,0.02,215249944,
29,BCM,0.49,507150000,26428900,0.03,480721100,
30,BFC,0.49,28012316,2072038,0.04,25940278,
31,BHN,0.49,113582000,40386430,0.17,73195570,
32,BIC,0.49,57465678,54626377,0.47,2839301,
33,BID,0.30,1206605412,677948879,0.17,528656533,
34,BKG,0.49,15680000,2188,0.01,15461200,
35,BMC,0.49,6072388,856468,0.07,5215920,
36,BMI,0.49,53715752,33405487,0.30,20310265,
37,BMP,1.00,81860938,69982687,0.85,11878251,
38,BRC,0.49,6063748,10092,0.01,5962828,
39,BSI,0.49,59814338,1936547,0.02,57877791,
40,BTP,0.49,29637944,5544070,0.09,24093874,
41,BTT,0.49,6615000,641643,0.05,5973357,
42,BVH,0.49,363738154,196739362,0.27,166998792,
43,BWE,0.49,94530800,37311060,0.19,57219740,
44,C32,0.49,7364771,570632,0.04,6794139,
45,C47,0.00,0,33844,0.00,-33844,
46,CACB2102,1.00,15000000,5,0.00,14995000,
47,CACB2103,1.00,3000000,3,0.00,2997000,
48,CACB2201,1.00,10000000,3,0.00,9997000,
49,CACB2202,1.00,5000000,0,0.00,5000000,(*)
50,CAV,0.49,28224000,103498,0.00,28120502,
51,CCI,0.00,0,43175,0.02,-43175,
52,CCL,0.49,23274943,496416,0.01,22778527,
53,CDC,0.49,10774470,155503,0.01,10618967,
54,CEE,0.49,20335000,545,0.00,20329550,
55,CFPT2108,1.00,1500000,0,0.00,1500000,
56,CFPT2109,1.00,10000000,2,0.00,9998000,
57,CFPT2110,1.00,17000000,1423,0.01,16857700,
58,CFPT2111,1.00,3000000,108,0.00,2989200,
59,CFPT2201,1.00,7000000,6,0.00,6994000,
60,CFPT2202,1.00,5000000,0,0.00,5000000,(*)
61,CHDB2103,1.00,3000000,1901,0.06,2809900,
62,CHDB2201,1.00,3000000,1162400,0.39,1837600,
63,CHDB2202,1.00,4000000,0,0.00,4000000,(*)
64,CHP,0.49,71987207,5687508,0.04,66299699,
65,CHPG2113,1.00,10000000,0,0.00,10000000,
66,CHPG2114,1.00,17700000,5068600,0.29,12631400,
67,CHPG2116,1.00,2500000,0,0.00,2500000,
68,CHPG2117,1.00,22000000,302,0.00,21969800,
69,CHPG2118,1.00,8000000,1277,0.02,7872300,
70,CHPG2119,1.00,3000000,0,0.00,3000000,
71,CHPG2201,1.00,8000000,3060300,0.38,4939700,
72,CHPG2202,1.00,8000000,1531000,0.19,6469000,
73,CHPG2203,1.00,20000000,1,0.00,19999000,
74,CHPG2204,1.00,6000000,0,0.00,6000000,(*)
75,CIG,0.49,15454574,47333,0.00,15407241,
76,CII,0.49,138819337,31121992,0.11,107697345,
77,CKDH2107,1.00,3000000,3341,0.11,2665900,
78,CKDH2201,1.00,4000000,3802100,0.95,1979,
79,CKDH2202,1.00,3500000,0,0.00,3500000,(*)
80,CKG,0.00,0,47674,0.00,-47674,
81,CLC,0.49,12841715,544476,0.02,12297239,
82,CLL,0.49,16660000,2467761,0.07,14192239,
83,CLW,0.49,6370000,62289,0.05,5747110,
84,CMBB2107,1.00,10000000,200,0.00,9999800,
85,CMBB2108,1.00,23000000,27,0.00,22997300,
86,CMBB2109,1.00,1200000,2886,0.24,9114,
87,CMBB2201,1.00,7000000,17,0.00,6983000,
88,CMG,0.50,49999933,39350760,0.39,10649173,
89,CMSN2104,1.00,5000000,0,0.00,5000000,
90,CMSN2107,1.00,2000000,0,0.00,2000000,
91,CMSN2108,1.00,3000000,1965200,0.66,1034800,
92,CMSN2110,1.00,10000000,300,0.00,9999700,
93,CMSN2111,1.00,3000000,0,0.00,3000000,
94,CMSN2201,1.00,5000000,4258600,0.85,7414,
95,CMV,0.00,0,38688,0.00,-38688,
96,CMWG2104,1.00,5000000,0,0.00,5000000,
97,CMWG2108,1.00,2000000,0,0.00,2000000,
98,CMWG2111,1.00,10000000,1,0.00,9999000,
99,CMWG2112,1.00,12000000,1018,0.01,11898200,
100,CMWG2113,1.00,3000000,0,0.00,2937700,
101,CMWG2114,1.00,4000000,0,0.00,4000000,
102,CMWG2201,1.00,5000000,25,0.01,4975000,
103,CMX,0.50,45408751,7776908,0.09,37631843,
104,CNG,0.49,13230000,1121203,0.04,12108797,
105,CNVL2104,1.00,5400000,4719,0.09,4928100,
106,CNVL2201,1.00,5000000,1260200,0.25,3739800,
107,COM,0.49,6919107,5482,0.00,6864287,
108,CPDR2103,1.00,3000000,28,0.00,2997200,
109,CPDR2201,1.00,3000000,2727800,0.91,2722,
110,CPNJ2106,1.00,2000000,500,0.00,1999500,
