STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,8296575,0.03,318137921,
2,AAM,0.49,6049741,119249,0.01,5930492,
3,AAT,0.50,31900744,328182,0.01,31572562,
4,ABR,1.00,20000000,9750700,0.49,10249300,
5,ABS,0.00,0,1789,0.00,-1789,
6,ABT,0.49,6912531,249825,0.02,6662706,
7,ACB,0.30,810584422,810584688,0.30,-266,
8,ACC,0.49,51449996,8601324,0.08,42848672,
9,ACL,0.40,19832876,1300175,0.03,18532701,
10,ADG,0.65,12927913,8952914,0.45,3974999,
11,ADS,0.50,19034725,903305,0.02,18131420,
12,AGG,0.50,55856597,11742828,0.11,44113769,
13,AGM,0.00,0,34937,0.02,-34937,
14,AGR,0.49,103880000,785369,0.00,103094631,
15,AMD,0.49,80117388,2609295,0.02,77508093,
16,ANV,0.49,62494416,2824764,0.02,59669652,
17,APC,0.49,9859483,3096155,0.15,6763328,
18,APG,1.00,146306612,1959964,0.01,144346648,
19,APH,1.00,251199148,82706903,0.33,168492245,
20,ASG,0.30,22696167,622328,0.01,22073839,
21,ASM,0.49,164898108,8416886,0.03,156481222,
22,ASP,0.49,18296565,18296493,0.49,72,
23,AST,0.49,22050000,19069507,0.42,2980493,
24,ATP,1.00,15000000,0,0.00,15000000,(*)
25,BAF,0.50,39000000,3345,0.00,38665500,
26,BBC,0.50,9376343,16466,0.01,9211683,
27,BCE,0.49,17150000,466772,0.01,16683228,
28,BCG,0.50,223152718,12041887,0.03,211110831,
29,BCM,0.49,507150000,27764200,0.03,479385800,
30,BFC,0.49,28012316,2719638,0.05,25292678,
31,BHN,0.49,113582000,40423330,0.17,73158670,
32,BIC,0.49,57465678,54615877,0.47,2849801,
33,BID,0.30,1517557144,849859893,0.17,667697251,
34,BKG,0.49,30380000,2114,0.00,30168600,
35,BMC,0.49,6072388,809688,0.07,5262700,
36,BMI,0.49,53715752,34217115,0.31,19498637,
37,BMP,1.00,81860938,70073788,0.86,11787150,
38,BRC,0.00,0,8812,0.01,-8812,
39,BSI,1.00,122070078,2514847,0.02,119555231,
40,BTP,0.49,29637944,5559470,0.09,24078474,
41,BTT,0.49,6615000,648143,0.05,5966857,
42,BVH,0.49,363738154,195832102,0.26,167906052,
43,BWE,0.49,94530800,37124840,0.19,57405960,
44,C32,0.49,7364771,685232,0.05,6679539,
45,C47,0.00,0,19644,0.00,-19644,
46,CACB2102,1.00,15000000,4110700,0.27,10889300,
47,CACB2103,1.00,3000000,4,0.00,2996000,
48,CACB2201,1.00,10000000,0,0.00,10000000,
49,CACB2202,1.00,5000000,0,0.00,5000000,
50,CAV,0.49,28224000,111798,0.00,28112202,
51,CCI,0.00,0,42925,0.02,-42925,
52,CCL,0.50,23749942,511816,0.01,23238126,
53,CDC,0.49,10774470,99383,0.00,10675087,
54,CEE,0.49,20335000,375,0.00,20331250,
55,CFPT2108,1.00,1500000,0,0.00,1500000,
56,CFPT2111,1.00,3000000,0,0.00,3000000,
57,CFPT2201,1.00,7000000,76,0.01,6924000,
58,CFPT2202,1.00,5000000,0,0.00,5000000,
59,CFPT2203,1.00,7500000,10,0.00,7490000,
60,CHDB2201,1.00,3000000,1044,0.03,2895600,
61,CHDB2202,1.00,4000000,0,0.00,4000000,
62,CHDB2203,1.00,4000000,3252100,0.81,7479,
63,CHDB2204,1.00,3000000,0,0.00,3000000,
64,CHP,0.49,71987207,5646908,0.04,66340299,
65,CHPG2116,1.00,2500000,0,0.00,2500000,
66,CHPG2117,1.00,22000000,2,0.00,21998000,
67,CHPG2118,1.00,8000000,550,0.07,7450000,
68,CHPG2119,1.00,3000000,0,0.00,3000000,
69,CHPG2201,1.00,8000000,1615800,0.20,6384200,
70,CHPG2202,1.00,8000000,15,0.00,7985000,
71,CHPG2203,1.00,20000000,0,0.00,20000000,
72,CHPG2204,1.00,6000000,672,0.01,5932800,
73,CHPG2205,1.00,9000000,0,0.00,9000000,(*)
74,CHPG2206,1.00,5000000,1152500,0.23,3847500,
75,CHPG2207,1.00,3000000,0,0.00,3000000,
76,CIG,0.49,15454574,80633,0.00,15373941,
77,CII,0.49,138819337,29537140,0.10,109282197,
78,CKDH2201,1.00,4000000,2056300,0.51,1943700,
79,CKDH2202,1.00,3500000,0,0.00,3500000,
80,CKDH2203,1.00,7000000,0,0.00,7000000,
81,CKDH2204,1.00,3000000,2642300,0.88,3577,
82,CKDH2205,1.00,3000000,0,0.00,3000000,
83,CKG,0.00,0,46174,0.00,-46174,
84,CLC,0.49,12841715,556976,0.02,12284739,
85,CLL,0.49,16660000,2355061,0.07,14304939,
86,CLW,0.49,6370000,62449,0.05,5745510,
87,CMBB2109,1.00,1200000,199,0.02,1180100,
88,CMBB2201,1.00,7000000,105,0.02,6895000,
89,CMBB2202,1.00,8500000,0,0.00,8500000,(*)
90,CMBB2203,1.00,3000000,0,0.00,3000000,
91,CMG,0.50,54499441,44036723,0.40,10462718,
92,CMSN2104,1.00,5000000,0,0.00,5000000,
93,CMSN2111,1.00,3000000,1,0.00,2999000,
94,CMSN2201,1.00,5000000,1193700,0.24,3806300,
95,CMV,0.00,0,38488,0.00,-38488,
96,CMWG2113,1.00,3000000,0,0.00,3000000,
97,CMWG2201,1.00,5000000,20,0.00,4980000,
98,CMWG2202,1.00,4000000,0,0.00,4000000,
99,CMWG2203,1.00,3000000,0,0.00,3000000,
100,CMX,0.50,45408751,5976708,0.07,39432043,
