STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,7301649,0.02,319132847,
2,AAM,0.49,6049741,119595,0.01,5930146,
3,AAT,0.50,31900744,70662,0.00,31830082,
4,ABR,1.00,20000000,9750100,0.49,10249900,
5,ABS,0.00,0,1789,0.00,-1789,
6,ABT,0.49,6912531,243025,0.02,6669506,
7,ACB,0.30,1013230528,1013230581,0.30,-53,
8,ACC,0.49,51449996,8741874,0.08,42708122,
9,ACL,0.40,19832876,1282675,0.03,18550201,
10,ADG,0.65,12927913,8953734,0.45,3974179,
11,ADS,0.50,19034725,708592,0.02,18326133,
12,AGG,0.50,55856597,11039228,0.10,44817369,
13,AGM,0.00,0,34917,0.02,-34917,
14,AGR,0.49,103880000,940561,0.00,102939439,
15,AMD,0.49,80117388,1071195,0.01,79046193,
16,ANV,0.49,62494416,3495264,0.03,58999152,
17,APC,0.49,9859483,3068655,0.15,6790828,
18,APG,1.00,146306612,3429364,0.02,142877248,
19,APH,1.00,251199148,80172556,0.32,171026592,
20,ASG,0.30,22696167,650628,0.01,22045539,
21,ASM,0.49,164898108,6530817,0.02,158367291,
22,ASP,0.49,18296565,18293293,0.49,3272,
23,AST,0.49,22050000,19163707,0.43,2886293,
24,ATP,1.00,15000000,0,0.00,15000000,(*)
25,BAF,0.50,71760000,1096408,0.01,70663592,
26,BBC,0.50,9376343,15666,0.01,9219683,
27,BCE,0.49,17150000,513672,0.01,16636328,
28,BCG,0.50,251652718,14936037,0.03,236716681,
29,BCM,0.49,507150000,27794100,0.03,479355900,
30,BFC,0.49,28012316,1936126,0.03,26076190,
31,BHN,0.49,113582000,40424730,0.17,73157270,
32,BIC,0.49,57465678,54359477,0.46,3106201,
33,BID,0.30,1517557144,853877115,0.17,663680029,
34,BKG,0.49,30380000,951,0.00,30284900,
35,BMC,0.49,6072388,797688,0.06,5274700,
36,BMI,0.49,53715752,34992933,0.32,18722819,
37,BMP,1.00,81860938,70068888,0.86,11792050,
38,BRC,0.00,0,6212,0.01,-6212,
39,BSI,1.00,122070078,3146747,0.03,118923331,
40,BTP,0.49,29637944,5556070,0.09,24081874,
41,BTT,0.49,6615000,648143,0.05,5966857,
42,BVH,0.49,363738154,196823442,0.27,166914712,
43,BWE,0.49,94530800,35133170,0.18,59397630,
44,C32,0.49,7364771,672032,0.04,6692739,
45,C47,0.00,0,19044,0.00,-19044,
46,CACB2102,1.00,15000000,4610800,0.31,10389200,
47,CACB2201,1.00,10000000,100,0.00,9999900,
48,CACB2203,1.00,5000000,0,0.00,5000000,
49,CACB2204,1.00,7000000,0,0.00,7000000,
50,CAV,0.49,28224000,123998,0.00,28100002,
51,CCI,0.00,0,42925,0.02,-42925,
52,CCL,0.50,23749942,436216,0.01,23313726,
53,CDC,0.49,10774470,94483,0.00,10679987,
54,CEE,0.49,20335000,365,0.00,20331350,
55,CFPT2108,1.00,1500000,0,0.00,1500000,
56,CFPT2201,1.00,7000000,9,0.00,6991000,
57,CFPT2203,1.00,7500000,0,0.00,7500000,
58,CHDB2201,1.00,3000000,3248,0.11,2675200,
59,CHDB2203,1.00,4000000,3069900,0.77,9301,
60,CHDB2204,1.00,3000000,0,0.00,3000000,
61,CHDB2205,1.00,4000000,3682200,0.92,3178,
62,CHDB2206,1.00,6000000,5998600,1.00,14,
63,CHP,0.49,71987207,5662908,0.04,66324299,
64,CHPG2116,1.00,2500000,60,0.02,2440000,
65,CHPG2117,1.00,22000000,202,0.01,21798000,
66,CHPG2201,1.00,8000000,0,0.00,8000000,
67,CHPG2202,1.00,8000000,68,0.00,7993200,
68,CHPG2203,1.00,20000000,0,0.00,20000000,
69,CHPG2205,1.00,9000000,0,0.00,9000000,(*)
70,CHPG2206,1.00,5000000,1095,0.02,4890500,
71,CHPG2207,1.00,3000000,0,0.00,3000000,
72,CHPG2208,1.00,10000000,0,0.00,10000000,
73,CHPG2209,1.00,4000000,600,0.00,3999400,
74,CHPG2210,1.00,4000000,5013,0.13,3498700,
75,CHPG2211,1.00,5000000,5,0.00,4995000,
76,CHPG2212,1.00,8000000,7495000,0.94,505,
77,CHPG2213,1.00,9000000,0,0.00,9000000,
78,CHPG2214,1.00,6000000,5640300,0.94,3597,
79,CIG,0.49,15454574,37033,0.00,15417541,
80,CII,0.49,139166060,28675024,0.10,110491036,
81,CKDH2201,1.00,4000000,1082700,0.27,2917300,
82,CKDH2203,1.00,7000000,0,0.00,7000000,
83,CKDH2204,1.00,3000000,2005500,0.67,9945,
84,CKDH2205,1.00,3000000,0,0.00,3000000,
85,CKDH2206,1.00,3000000,1564800,0.52,1435200,
86,CKDH2207,1.00,7000000,0,0.00,7000000,
87,CKG,0.00,0,46174,0.00,-46174,
88,CLC,0.49,12841715,572176,0.02,12269539,
89,CLL,0.49,16660000,2323061,0.07,14336939,
90,CLW,0.49,6370000,62459,0.05,5745410,
91,CMBB2201,1.00,7000000,105,0.02,6895000,
92,CMBB2202,1.00,8500000,0,0.00,8500000,(*)
93,CMBB2203,1.00,3000000,0,0.00,3000000,
94,CMBB2204,1.00,10000000,0,0.00,10000000,
95,CMBB2205,1.00,8000000,0,0.00,8000000,
