STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,7957449,0.02,318477047,
2,AAM,0.49,6049741,110568,0.01,5939173,
3,AAT,0.50,17400000,394,0.00,17360600,
4,ABS,0.00,0,1789,0.00,-1789,
5,ABT,0.49,6912531,255516,0.02,6657015,
6,ACB,0.30,810584422,810584517,0.30,-95,
7,ACC,0.49,14700000,3632327,0.12,11067673,
8,ACL,0.40,19832876,1648816,0.03,18184060,
9,ADG,0.65,12927913,8742230,0.44,4185683,
10,ADS,0.50,14034725,415007,0.01,13619718,
11,AGG,0.50,41375288,9222336,0.11,32152952,
12,AGM,0.00,0,1150670,0.06,-1150670,
13,AGR,0.49,103880000,762079,0.00,103117921,
14,AMD,0.49,80117388,1265195,0.01,78852193,
15,ANV,0.49,62494416,1663551,0.01,60830865,
16,APC,0.49,9859483,3102639,0.15,6756844,
17,APG,1.00,73153306,356171,0.00,72797135,
18,APH,1.00,202422322,72443728,0.36,129978594,
19,ASG,0.30,22696167,618808,0.01,22077359,
20,ASM,0.49,126845246,3373420,0.01,123471826,
21,ASP,0.49,18296565,18296093,0.49,472,
22,AST,0.49,22050000,19231302,0.43,2818698,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BAF,0.50,39000000,0,0.00,39000000,(*)
25,BBC,0.49,7556183,174112,0.01,7382071,
26,BCE,0.49,17150000,1359942,0.04,15790058,
27,BCG,0.36,106458800,11268266,0.04,95190534,
28,BCM,0.49,507150000,19956560,0.02,487193440,
29,BFC,0.49,28012316,2295040,0.04,25717276,
30,BHN,0.49,113582000,40403830,0.17,73178170,
31,BIC,0.49,57465678,54438917,0.46,3026761,
32,BID,0.30,1206605412,666008206,0.17,540597206,
33,BID10406,1.00,3500620,0,0.00,3500620,
34,BID11908,1.00,5000000,500,0.10,4500000,
35,BKG,0.49,15680000,2429,0.01,15437100,
36,BMC,0.49,6072388,1133121,0.09,4939267,
37,BMI,0.49,53715752,33351698,0.30,20364054,
38,BMP,1.00,81860938,68509785,0.84,13351153,
39,BRC,0.49,6063748,9692,0.01,5966828,
40,BSI,0.49,59814338,2347224,0.02,57467114,
41,BTP,0.49,29637944,5562170,0.09,24075774,
42,BTT,0.49,6615000,630343,0.05,5984657,
43,BVH,0.49,363738154,197152392,0.27,166585762,
44,BWE,0.49,94530800,34571290,0.18,59959510,
45,C32,0.49,7364771,559779,0.04,6804992,
46,C47,0.49,10549456,155349,0.01,10394107,
47,CACB2101,1.00,4000000,0,0.00,4000000,
48,CAV,0.49,28224000,130088,0.00,28093912,
49,CCI,0.00,0,43175,0.02,-43175,
50,CCL,0.49,23274943,741036,0.02,22533907,
51,CDC,0.49,10774470,215723,0.01,10558747,
52,CEE,0.49,20335000,135,0.00,20333650,
53,CFPT2102,1.00,1000000,16,0.02,984,
54,CFPT2103,1.00,5000000,489,0.01,4951100,
55,CFPT2104,1.00,7000000,0,0.00,7000000,
56,CFPT2105,1.00,18000000,157,0.01,17843000,
57,CFPT2106,1.00,2000000,0,0.00,2000000,
58,CFPT2107,1.00,6000000,0,0.00,5999600,
59,CFPT2108,1.00,1500000,3,0.00,1497000,
60,CFPT2109,1.00,10000000,0,0.00,10000000,
61,CHDB2102,1.00,4000000,0,0.00,4000000,
62,CHDB2103,1.00,3000000,2056800,0.69,9432,
63,CHP,0.49,71987207,5627115,0.04,66360092,
64,CHPG2109,1.00,3000000,15,0.00,2998500,
65,CHPG2110,1.00,10000000,200,0.00,9999800,
66,CHPG2111,1.00,37500000,26,0.00,37497400,
67,CHPG2112,1.00,3000000,846,0.03,2915400,
68,CHPG2113,1.00,10000000,0,0.00,10000000,
69,CHPG2114,1.00,10000000,4918300,0.49,5081700,
70,CHPG2115,1.00,7000000,0,0.00,7000000,
71,CHPG2116,1.00,2500000,0,0.00,2500000,
72,CIG,0.49,15454574,555,0.00,15449024,
73,CII,0.49,138772693,60275418,0.21,78497275,
74,CKDH2103,1.00,4000000,1052400,0.26,2947600,
75,CKDH2104,1.00,6500000,22,0.00,6478000,
76,CKDH2105,1.00,2000000,0,0.00,1999000,
77,CKDH2106,1.00,1000000,403,0.04,9597,
78,CKDH2107,1.00,3000000,2980000,0.99,20,
79,CKG,0.49,40424892,1092734,0.01,39332158,
80,CLC,0.49,12841715,482676,0.02,12359039,
81,CLL,0.49,16660000,2468561,0.07,14191439,
82,CLW,0.49,6370000,62229,0.05,5747710,
83,CMBB2103,1.00,5000000,87,0.00,4991300,
84,CMBB2104,1.00,8000000,100,0.01,7900000,
85,CMBB2105,1.00,1000000,0,0.00,1000000,
86,CMBB2106,1.00,3000000,0,0.00,3000000,
87,CMBB2107,1.00,10000000,0,0.00,10000000,
88,CMG,0.49,48999934,38970690,0.39,10029244,
89,CMSN2104,1.00,5000000,0,0.00,5000000,
