STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,7033878,0.02,319400618,
2,AAM,0.49,6049741,152749,0.01,5896992,
3,AAT,0.50,19400744,66345,0.00,19334399,
4,ABS,0.00,0,1789,0.00,-1789,
5,ABT,0.49,6912531,249226,0.02,6663305,
6,ACB,0.30,810584422,810584846,0.30,-424,
7,ACC,0.49,14700000,3018657,0.10,11681343,
8,ACL,0.40,19832876,1431401,0.03,18401475,
9,ADG,0.65,12927913,8917304,0.45,4010609,
10,ADS,0.50,19034725,58779,0.02,18446935,
11,AGG,0.50,41375288,9016026,0.11,32359262,
12,AGM,0.00,0,1149670,0.06,-1149670,
13,AGR,0.49,103880000,559679,0.00,103320321,
14,AMD,0.49,80117388,1832895,0.01,78284493,
15,ANV,0.49,62494416,1751301,0.01,60743115,
16,APC,0.49,9859483,3150439,0.16,6709044,
17,APG,1.00,73153306,354421,0.00,72798885,
18,APH,1.00,202422322,70265456,0.35,132156866,
19,ASG,0.30,22696167,619628,0.01,22076539,
20,ASM,0.49,126845246,4361722,0.02,122483524,
21,ASP,0.49,18296565,18295193,0.49,1372,
22,AST,0.49,22050000,19177862,0.43,2872138,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BAF,0.50,39000000,52,0.00,38994800,
25,BBC,0.50,7710391,17306,0.01,7537331,
26,BCE,0.49,17150000,1114372,0.03,16035628,
27,BCG,0.50,148768587,7116771,0.02,141651816,
28,BCM,0.49,507150000,20568560,0.02,486581440,
29,BFC,0.49,28012316,1982838,0.03,26029478,
30,BHN,0.49,113582000,40402930,0.17,73179070,
31,BIC,0.49,57465678,54515307,0.46,2950371,
32,BID,0.30,1206605412,670775817,0.17,535829595,
33,BKG,0.49,15680000,4709,0.01,15209100,
34,BMC,0.49,6072388,939681,0.08,5132707,
35,BMI,0.49,53715752,33371116,0.30,20344636,
36,BMP,1.00,81860938,69288731,0.85,12572207,
37,BRC,0.49,6063748,9222,0.01,5971528,
38,BSI,0.49,59814338,2184347,0.02,57629991,
39,BTP,0.49,29637944,5596570,0.09,24041374,
40,BTT,0.49,6615000,633843,0.05,5981157,
41,BVH,0.49,363738154,196216202,0.26,167521952,
42,BWE,0.49,94530800,36871740,0.19,57659060,
43,C32,0.49,7364771,683379,0.05,6681392,
44,C47,0.00,0,164211,0.01,-164211,
45,CACB2101,1.00,4000000,0,0.00,4000000,
46,CACB2102,1.00,15000000,300,0.00,14999700,
47,CACB2103,1.00,3000000,0,0.00,3000000,
48,CAV,0.49,28224000,108298,0.00,28115702,
49,CCI,0.00,0,43175,0.02,-43175,
50,CCL,0.49,23274943,442316,0.01,22832627,
51,CDC,0.49,10774470,296003,0.01,10478467,
52,CEE,0.49,20335000,165,0.00,20333350,
53,CFPT2102,1.00,1000000,0,0.00,1000000,
54,CFPT2103,1.00,5000000,500,0.00,4999500,
55,CFPT2105,1.00,18000000,0,0.00,18000000,
