STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
323,HPX,0.49,149042604,36301739,0.12,112740865,
324,HQC,0.49,233534000,3044707,0.01,230489293,
325,HRC,0.49,14801244,192612,0.01,14608632,
326,HSG,0.49,241806129,32653371,0.07,209152758,
327,HSL,0.49,15761900,501005,0.02,15260895,
328,HT1,0.49,186979056,7076330,0.02,179902726,
329,HTI,0.50,12474600,4442800,0.18,8031800,
330,HTL,0.49,5880000,5512649,0.46,367351,
331,HTN,0.49,43667041,715009,0.01,42952032,
332,HTV,0.49,6420960,1400274,0.11,5020686,
333,HU1,0.50,5000000,37953,0.04,4620470,
334,HU3,0.49,4899972,48009,0.05,4419882,
335,HUB,0.49,9338084,322555,0.02,9015529,
336,HVH,0.49,18105497,194345,0.01,17911152,
337,HVN,0.30,664318252,130474672,0.06,533843580,
338,HVX,0.47,19580401,329,0.01,19251401,
339,IBC,0.31,25776704,53867,0.00,25722837,
340,ICT,1.00,32185000,160772,0.01,32024228,
341,IDI,0.49,111545857,1826457,0.01,109719400,
342,IJC,0.49,106377688,12979286,0.06,93398402,
343,ILB,0.49,12006100,3589,0.01,11647200,
344,IMP,0.75,50029027,32601409,0.49,17427618,
345,ITA,0.44,410765520,15220666,0.02,395544854,
346,ITC,0.00,0,311699,0.00,-311699,
347,ITD,0.49,10458390,378799,0.02,10079591,
348,JVC,0.49,55125083,1821142,0.02,53303941,
349,KBC,0.49,376126331,148974085,0.19,227152246,
350,KDC,0.50,139870678,77234687,0.28,62635991,
351,KDH,0.50,358414997,227925595,0.32,130489402,
352,KHG,0.49,217146540,2459668,0.01,214686872,
353,KHP,0.49,29598923,1354615,0.02,28244308,
354,KMR,1.00,56881443,35515325,0.62,21366118,
355,KOS,0.00,0,52608,0.00,-52608,
356,KPF,0.49,29824948,2071714,0.03,27753234,
357,KSB,0.49,37549288,1220940,0.02,36328348,
358,L10,0.49,4846100,122554,0.01,4723546,
359,LAF,0.49,7216729,281537,0.02,6935192,
360,LBM,0.50,5000000,1274079,0.13,3725921,
361,LCG,0.50,87202412,3796934,0.02,83405478,
362,LCM,0.49,12070170,1019650,0.04,11050520,
363,LDG,0.49,117704100,1642967,0.01,116061133,
364,LEC,0.49,12789000,2323,0.00,12786677,
365,LGC,0.49,94498834,86761199,0.45,7737635,
