STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,7509735,0.02,318924761,
2,AAM,0.49,6049741,110068,0.01,5939673,
3,AAT,0.50,17400000,75,0.00,17392500,
4,ABS,0.00,0,1709,0.00,-1709,
5,ABT,0.49,6912531,268932,0.02,6643599,
6,ACB,0.30,810584422,810584422,0.30,0,
7,ACC,0.49,14700000,3661027,0.12,11038973,
8,ACL,0.40,19832876,1666461,0.03,18166415,
9,ADG,0.65,12927913,8316157,0.42,4611756,
10,ADS,0.50,14034725,360707,0.01,13674018,
11,AGG,0.50,41375288,9152736,0.11,32222552,
12,AGM,0.00,0,1150670,0.06,-1150670,
13,AGR,0.49,103880000,873279,0.00,103006721,
14,AMD,0.49,80117388,1575895,0.01,78541493,
15,ANV,0.49,62494416,1356801,0.01,61137615,
16,APC,0.49,9859483,3120239,0.16,6739244,
17,APG,1.00,73153306,356366,0.00,72796940,
18,APH,1.00,202422322,72255828,0.36,130166494,
19,ASG,0.30,22696167,611208,0.01,22084959,
20,ASM,0.49,126845246,3115670,0.01,123729576,
21,ASP,0.49,18296565,18295693,0.49,872,
22,AST,0.49,22050000,19237702,0.43,2812298,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BAF,0.00,0,0,0.00,0,(*)
25,BBC,0.49,7556183,174212,0.01,7381971,
26,BCE,0.49,17150000,1320442,0.04,15829558,
27,BCG,0.36,106458800,13204178,0.04,93254622,
28,BCM,0.49,507150000,20099160,0.02,487050840,
29,BFC,0.49,28012316,1998240,0.04,26014076,
30,BHN,0.49,113582000,40403530,0.17,73178470,
31,BIC,0.49,57465678,54155417,0.46,3310261,
32,BID,0.30,1206605412,669510046,0.17,537095366,
33,BID10406,1.00,3500620,0,0.00,3500620,
34,BID11908,1.00,5000000,500,0.10,4500000,
35,BKG,0.49,15680000,186,0.01,15494000,
36,BMC,0.49,6072388,1219026,0.10,4853362,
37,BMI,0.49,53715752,34273878,0.31,19441874,
38,BMP,1.00,81860938,68694535,0.84,13166403,
39,BRC,0.49,6063748,8802,0.01,5975728,
40,BSI,0.49,59814338,2037719,0.02,57776619,
41,BTP,0.49,29637944,5572620,0.09,24065324,
42,BTT,0.49,6615000,630343,0.05,5984657,
43,BVH,0.49,363738154,197857764,0.27,165880390,
44,BWE,0.49,94530800,34805940,0.18,59724860,
45,C32,0.49,7364771,1645489,0.11,5719282,
46,C47,0.49,9173850,70721,0.00,9103129,
47,CAV,0.49,28224000,135788,0.00,28088212,
48,CCI,0.00,0,43175,0.02,-43175,
49,CCL,0.49,23274943,726736,0.02,22548207,
50,CDC,0.49,10774470,178821,0.01,10595649,
51,CEE,0.49,20335000,255,0.00,20332450,
52,CFPT2102,1.00,1000000,14,0.01,986,
53,CFPT2103,1.00,5000000,75,0.00,4992500,
54,CFPT2104,1.00,7000000,0,0.00,7000000,
55,CFPT2105,1.00,12000000,696,0.01,11930400,
56,CFPT2106,1.00,2000000,5,0.00,1995000,
57,CHDB2102,1.00,4000000,1404500,0.35,2595500,
58,CHP,0.49,71987207,5621215,0.04,66365992,
59,CHPG2109,1.00,3000000,0,0.00,3000000,
60,CHPG2110,1.00,10000000,200,0.00,9999800,
61,CHPG2111,1.00,25000000,300,0.00,24999700,
62,CHPG2112,1.00,3000000,0,0.00,2915400,
63,CHPG2113,1.00,20000000,0,0.00,10000000,(*)
64,CIG,0.49,15454574,555,0.00,15449024,
65,CII,0.49,138772693,62175328,0.22,76597365,
66,CKDH2103,1.00,4000000,1674200,0.42,2325800,
67,CKDH2104,1.00,6500000,0,0.00,6500000,
68,CKDH2105,1.00,2000000,0,0.00,2000000,
69,CKDH2106,1.00,1000000,0,0.00,1000000,
70,CKG,0.49,40424892,1191420,0.01,39233472,
71,CLC,0.49,12841715,498826,0.02,12342889,
72,CLL,0.49,16660000,2469161,0.07,14190839,
73,CLW,0.49,6370000,62229,0.05,5747710,
74,CMBB2103,1.00,5000000,137,0.00,4986300,
75,CMBB2104,1.00,8000000,100,0.01,7900000,
76,CMBB2105,1.00,1000000,0,0.00,1000000,
77,CMG,0.49,48999934,38847990,0.39,10151944,
78,CMSN2104,1.00,5000000,0,0.00,5000000,
79,CMSN2105,1.00,12000000,0,0.00,12000000,
80,CMSN2106,1.00,4000000,1902900,0.48,2097100,
81,CMSN2107,1.00,2000000,0,0.00,2000000,
82,CMV,0.49,8896375,38488,0.00,8857887,
83,CMWG2104,1.00,5000000,67,0.00,4993300,
84,CMWG2106,1.00,5000000,255,0.01,4974500,
85,CMWG2107,1.00,7000000,689,0.01,6931100,
86,CMWG2108,1.00,2000000,0,0.00,2000000,
87,CMX,0.50,15204375,6119821,0.20,9084554,
88,CNG,0.49,13230000,1527651,0.06,11702349,
89,CNVL2103,1.00,5500000,0,0.00,5500000,
90,COM,0.49,6919107,5542,0.00,6863687,
