STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,326434496,8480476,0.03,317954020,
2,AAM,0.49,6049741,167049,0.01,5882692,
3,AAT,0.50,31900744,263238,0.00,31637506,
4,ABS,0.00,0,1789,0.00,-1789,
5,ABT,0.49,6912531,249325,0.02,6663206,
6,ACB,0.30,810584422,810584935,0.30,-513,
7,ACC,0.49,14700000,1094257,0.04,13605743,
8,ACL,0.40,19832876,1403207,0.03,18429669,
9,ADG,0.65,12927913,8946814,0.45,3981099,
10,ADS,0.50,19034725,43529,0.01,18599435,
11,AGG,0.50,41375288,9204606,0.11,32170682,
12,AGM,0.00,0,1149670,0.06,-1149670,
13,AGR,0.49,103880000,638539,0.00,103241461,
14,AMD,0.49,80117388,2737495,0.02,77379893,
15,ANV,0.49,62494416,1635594,0.01,60858822,
16,APC,0.49,9859483,3141245,0.16,6718238,
17,APG,1.00,73153306,462151,0.01,72691155,
18,APH,1.00,202422322,70658202,0.35,131764120,
19,ASG,0.30,22696167,620728,0.01,22075439,
20,ASM,0.49,126845246,5169946,0.02,121675300,
21,ASP,0.49,18296565,18291393,0.49,5172,
22,AST,0.49,22050000,19163457,0.43,2886543,
23,ATP,1.00,15000000,0,0.00,15000000,(*)
24,BAF,0.50,39000000,8,0.00,38992000,
25,BBC,0.50,7710391,16816,0.01,7542231,
26,BCE,0.49,17150000,526472,0.02,16623528,
27,BCG,0.50,223152718,8037374,0.02,215115344,
28,BCM,0.49,507150000,24323000,0.02,482827000,
29,BFC,0.49,28012316,2245338,0.04,25766978,
30,BHN,0.49,113582000,40387730,0.17,73194270,
31,BIC,0.49,57465678,54788977,0.47,2676701,
32,BID,0.30,1206605412,675808079,0.17,530797333,
33,BKG,0.49,15680000,2426,0.01,15437400,
34,BMC,0.49,6072388,837778,0.07,5234610,
35,BMI,0.49,53715752,33377309,0.30,20338443,
36,BMP,1.00,81860938,69872387,0.85,11988551,
37,BRC,0.49,6063748,9892,0.01,5964828,
