STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors
166,EMC,0.49,7495693,562,0.00,7490073
167,EVE,1.00,41979773,28250561,0.67,13729212
168,EVG,0.00,0,46073,0.00,-46073
169,FCM,0.49,20090000,864515,0.02,19225485
170,FCN,0.75,94079253,34310616,0.27,59768637
171,FDC,0.49,18928694,14169,0.00,18914525
172,FIR,0.49,13249533,305737,0.01,12943796
173,FIT,0.00,0,340669,0.00,-340669
174,FLC,0.49,347898925,17331424,0.02,330567501
175,FMC,0.49,28836500,4354785,0.07,24481715
176,FPT,0.49,444700308,444697808,0.49,25
177,FRT,0.49,38701078,9329347,0.12,29371731
178,FTM,0.49,24500000,19013,0.00,24309870
179,FTS,1.00,145493097,31501904,0.22,113991193
180,FUCTVGF2,0.49,8330000,245922,0.01,8084078
181,FUCVREIT,0.49,2450000,3029,0.00,2419710
182,FUEMAV30,1.00,35500000,32860780,0.93,2639220
183,FUESSV30,1.00,4400000,1736120,0.39,2663880
184,FUESSV50,1.00,13500000,8515450,0.63,4984550
185,FUESSVFL,1.00,130000000,127893500,0.98,2106500
186,FUEVFVND,1.00,538500000,533101346,0.99,5398654
187,FUEVN100,1.00,5200000,2997130,0.58,2202870
188,GAB,0.49,6762000,7562,0.00,6686380
189,GAS,0.49,937835500,53156898,0.03,884678602
190,GDT,0.49,8397114,2881244,0.17,5515870
191,GEG,0.50,135587594,97864202,0.36,37723392
192,GEX,0.49,239239560,59833842,0.12,179405718
193,GIL,0.49,17640000,1861871,0.05,15778129
194,GMC,0.49,14702587,2509631,0.08,12192956
195,GMD,0.49,147675198,126545483,0.42,21129715
196,GSP,0.00,0,1351660,0.00,-1351660
197,GTA,0.49,5096000,49895,0.00,5046105
198,GTN,1.00,250000000,472519,0.00,249527481
199,GVR,0.13,520000000,25620050,0.01,494379950
200,HAG,0.43,394915851,10548132,0.01,384367719
201,HAH,0.49,23903547,3769964,0.08,20133583
202,HAI,0.49,89514571,2637250,0.01,86877321
203,HAR,0.49,49661549,126382,0.00,49535167
204,HAS,0.49,3920000,1419164,0.18,2500836
205,HAX,0.49,23405821,8486418,0.18,14919403
206,HBC,0.49,113128945,33870049,0.15,79258896
207,HCD,0.49,13230000,41375,0.00,12816250
208,HCM,0.49,149882308,146188858,0.48,3693450
209,HCMA0307,1.00,280,0,0.00,280
210,HCMA0606,1.00,620,0,0.00,620
211,HCMA0906,1.00,380,0,0.00,380
212,HCM_0307,1.00,2000000,0,0.00,2000000
213,HCM_0607,1.00,1500000,0,0.00,1500000
214,HCM_0706,1.00,1000000,0,0.00,1000000
215,HCM_0807,1.00,900,0,0.00,900
216,HCM_1007,1.00,340,0,0.00,340
217,HDB,0.22,345902495,288018068,0.18,57884427
218,HDC,0.49,40740498,2287042,0.03,38453456
219,HDG,0.49,75594758,17091892,0.11,58502866
220,HHP,0.49,9834213,88214,0.00,9745999
221,HHS,0.49,134624590,6426418,0.02,128198172
222,HID,0.49,28794865,1095476,0.02,27699389
223,HII,0.49,15693475,266637,0.01,15426838
224,HMC,0.49,10290000,23488,0.00,10055120
225,HNG,0.49,543191408,20240980,0.02,522950428
226,HOT,0.49,3920000,122,0.00,3918780
227,HPG,0.49,2191732125,1194205709,0.27,997526416
228,HPX,0.49,129602345,36568783,0.14,93033562
229,HQC,0.49,233534000,4772839,0.01,228761161
230,HRC,0.49,14801244,196483,0.01,14604761
231,HSG,0.49,239650129,48562143,0.10,191087986
232,HSL,1.00,17167144,1601885,0.09,15565259
233,HT1,0.49,186979056,10929787,0.03,176049269
234,HTI,0.49,12225108,3621130,0.15,8603978
235,HTL,0.49,5880000,5343849,0.45,536151
236,HTN,0.49,24259508,138342,0.00,24121166
237,HTV,0.49,6420960,1959844,0.15,4461116
238,HU1,0.49,4900000,36973,0.00,4530270
239,HU3,0.49,4899972,46849,0.00,4431482
240,HUB,0.49,9338084,93015,0.00,8407934
241,HVH,0.49,18105497,208095,0.01,17897402
242,HVN,0.30,425487254,128906114,0.09,296581140
243,HVX,0.47,19580401,3459,0.00,19234501
244,IBC,0.31,25292817,136277,0.00,25156540
245,ICT,1.00,32185000,15446,0.00,32030540
246,IDI,0.49,111545857,1547557,0.01,109998300
247,IJC,0.49,106377688,2043416,0.01,104334272
248,ILB,0.00,0,0,0.00,0
249,IMP,0.49,32685631,32685536,0.49,95
250,ITA,0.44,410765520,11206545,0.01,399558975
251,ITC,0.49,39065884,379974,0.00,38685910
252,ITD,0.49,9341751,198076,0.01,9143675
253,JVC,0.49,55125083,14594495,0.13,40530588
254,KBC,0.49,233098471,92848479,0.20,140249992
255,KBC12006,1.00,4000000,2,0.00,3999998
256,KDC,1.00,279741356,60196440,0.22,219544916
257,KDH,0.49,315039163,197839785,0.31,117199378
258,KHP,0.49,28209797,3879699,0.07,24330098
259,KMR,1.00,56881443,35889869,0.63,20991574
260,KOS,0.49,80865354,419903,0.00,80445451
261,KPF,0.49,28404777,1767415,0.03,26637362
262,KSB,0.49,36079288,2587250,0.04,33492038
263,L10,0.49,4846100,91547,0.01,4754553
264,LBM,0.49,4900000,1002169,0.10,3897831
265,LCG,0.49,57451769,4986854,0.04,52464915
266,LCM,0.49,12070170,2767810,0.11,9302360
267,LDG,0.49,117704100,1957879,0.01,115746221
268,LEC,0.49,12789000,437,0.00,12788563
269,LGC,0.49,94498834,86762399,0.45,7736435
270,LGL,0.49,25235000,1155479,0.02,24079521
271,LHG,0.49,24505884,4759903,0.10,19745981
272,LIX,0.49,15876000,3356485,0.10,12519515
273,LM8,0.49,4600454,171645,0.02,4428809
274,LPB,0.05,53731945,35527186,0.03,18204759
275,LSS,0.49,34300000,1413847,0.02,32886153
276,MBB,0.23,650293957,609151704,0.22,41142253
277,MCG,0.49,28179900,2722454,0.05,25457446
278,MCP,0.49,7384955,28999,0.00,7355956
279,MDG,0.49,5335625,0,0.00,5335625
280,MHC,0.49,20289412,1276389,0.03,19013023
281,MIG,0.49,70070000,2825478,0.02,67244522
282,MSB,0.30,352500000,352499972,0.30,28
283,MSH,0.49,24504606,3284330,0.07,21220276
284,MSN,1.00,1180534692,393482232,0.33,787052460
285,MSN11906,1.00,15000000,51978,0.00,14480220
286,MSN12001,1.00,20000000,2557676,0.13,17442324
287,MSN12002,1.00,30000000,303849,0.01,29696151
288,MSN12003,1.00,30000000,611,0.00,29993890
289,MSN12005,1.00,20000000,166156,0.01,19833844
290,MWG,0.49,232961286,232961286,0.49,0
291,NAF,1.00,59926785,16070493,0.27,43856292
292,NAV,0.49,3920000,7169,0.00,3848310
293,NBB,0.49,49233071,80856,0.00,48424511
294,NCT,0.49,12821800,2401843,0.09,10419957
295,NHA,0.49,13777109,87165,0.00,13689944
296,NHH,1.00,36440000,675426,0.02,35764574
297,NKG,0.50,90999934,27190770,0.15,63809164
298,NLG,0.50,142635330,131590757,0.46,11044573
299,NNC,0.49,10740800,2108951,0.10,8631849
300,NPM11805,1.00,5000000,0,0.00,5000000
301,NPM11907,1.00,2100000,0,0.00,2100000
302,NPM11909,1.00,3000000,30,0.00,2970000
303,NPM11910,1.00,2000000,21884,0.01,1978116
304,NPM11911,1.00,5000000,0,0.00,5000000
305,NT2,0.49,141059254,40542226,0.14,100517028
306,NTL,0.49,29885075,3749550,0.06,26135525
307,NVL,0.38,564390952,142847727,0.10,421543225
308,NVT,1.00,90500000,9742,0.00,90402580
309,OCB,0.22,241099395,241099335,0.22,60
310,OGC,0.49,147000000,597468,0.00,146402532
311,OPC,0.49,13022867,1320284,0.05,11702583
312,PAC,0.49,22771136,6224870,0.13,16546266
313,PC1,0.49,93682197,19461069,0.10,74221128
314,PDN,0.49,9075757,121314,0.01,8954443
315,PDR,0.49,238518238,18016093,0.04,220502145
316,PET,0.49,42434060,2985920,0.03,39448140
317,PGC,0.49,29567892,2068336,0.03,27499556
318,PGD,0.49,44099522,42154715,0.47,1944807
319,PGI,0.49,43471708,18381575,0.21,25090133
320,PHC,0.49,12616647,660768,0.03,11955879
321,PHR,0.49,66394607,15362164,0.11,51032443
322,PIT,0.49,7447679,117261,0.01,7330418
323,PJT,0.00,0,337823,0.00,-337823
324,PLP,0.49,19600000,828903,0.02,18771097
325,PLX,0.20,258775616,223478781,0.17,35296835
326,PME,1.00,75011625,67198402,0.90,7813223
327,PMG,0.49,22704776,11667706,0.25,11037070
328,PNC,0.49,5409718,88341,0.01,5321377
329,PNJ,0.49,111530057,111529967,0.49,90
330,POM,0.49,137041404,22019743,0.08,115021661
331,POW,0.49,1147517084,69274757,0.03,1078242327
332,PPC,0.49,159855150,48552654,0.15,111302496
333,PSH,0.00,0,100,0.00,-100
334,PTB,0.49,23813726,8976833,0.18,14836893
335,PTC,0.49,8819999,56914,0.00,8763085
336,PTL,0.49,49000000,92044,0.00,48907956
337,PVD,0.49,206557436,30685397,0.07,175872039
338,PVT,0.49,158589110,49428701,0.15,109160409
339,PXI,0.49,14700000,28351,0.00,14416490
340,PXS,0.49,29400000,6719988,0.11,22680012
341,QCG,0.49,134813361,1378793,0.01,133434568
342,RAL,0.49,5916750,409906,0.03,5506844
343,RDP,0.49,23343887,22571,0.00,23118177
344,REE,0.49,151928832,151928832,0.49,0
