STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
1,AAA,1.00,382274496,7815073,0.02,374459423,
2,AAM,0.49,6049741,90764,0.01,5958977,
3,AAT,0.50,31900744,606283,0.01,31294461,
4,ABR,1.00,20000000,9796400,0.49,10203600,
5,ABS,0.00,0,1489,0.00,-1489,
6,ABT,0.49,7049731,244762,0.02,6804969,
7,ACB,0.30,1165215107,1165215107,0.30,0,
8,ACC,0.49,51449996,8272303,0.08,43177693,
9,ACG,0.50,67923061,52288269,0.38,15634792,
10,ACL,0.40,19832876,1403853,0.03,18429023,
11,ADG,0.65,13897338,10220607,0.48,3676731,
12,ADS,0.50,25389517,120931,0.00,25268586,
13,AGG,0.50,62559184,6135674,0.05,56423510,
14,AGM,0.00,0,34657,0.02,-34657,
15,AGR,1.00,215391309,616286,0.00,214775023,
16,AMD,0.49,80117388,1171794,0.01,78945594,
17,ANV,0.49,65434416,5860067,0.04,59574349,
18,APC,0.49,9859483,3062222,0.15,6797261,
19,APG,1.00,146306612,1069269,0.01,145237343,
20,APH,1.00,243884268,68278252,0.28,175606016,
21,ASG,0.30,22696167,672928,0.01,22023239,
22,ASM,0.49,164898108,6628834,0.02,158269274,
23,ASP,0.49,18296565,18296565,0.49,0,
24,AST,0.49,22050000,20207013,0.45,1842987,
25,ATP,1.00,15000000,0,0.00,15000000,(*)
26,BAF,0.50,71760000,247843,0.00,71512157,
27,BBC,0.50,9376343,155842,0.01,9220501,
28,BCE,0.49,17150000,484317,0.01,16665683,
29,BCG,0.50,266733811,9080543,0.02,257653268,
30,BCM,0.49,507150000,28303935,0.03,478846065,
31,BFC,0.49,28012316,67927,0.01,27333046,
32,BHN,0.49,113582000,40757790,0.18,72824210,
33,BIC,0.49,57465678,52490787,0.45,4974891,
34,BID,0.30,1517557144,867257026,0.17,650300118,
35,BKG,0.50,34099991,8228,0.00,34017711,
36,BMC,0.49,6072388,749094,0.06,5323294,
37,BMI,0.49,53715752,34767243,0.32,18948509,
38,BMP,1.00,81860938,68050622,0.83,13810316,
39,BRC,0.50,6187498,8592,0.01,6101578,
40,BSI,1.00,187800120,66828358,0.36,120971762,
41,BTP,0.49,29637944,5665740,0.09,23972204,
42,BTT,0.00,0,663243,0.05,-663243,
43,BVH,0.49,363738154,199224093,0.27,164514061,
