STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,,,
95,CSTB2101,100%,2000000,0,0,2000000,,,
96,CSTB2103,100%,5000000,1000,0.02,4999000,,,
97,CSTB2104,100%,2500000,0,0,2500000,,,
98,CSV,49%,21658000,6066464,57.16381372,15591536,,,
99,CTCB2012,100%,2000000,400,0.02,1999600,,,
100,CTCB2101,100%,2000000,6700,0.335,1993300,,,
101,CTCB2102,100%,5000000,4700,0.094,4995300,,,
102,CTCB2103,100%,5000000,0,0,5000000,,,
103,CTCB2104,100%,2000000,0,0,2000000,,,
104,CTCH2003,100%,6000000,3000,0.05,5997000,,,
105,CTCH2101,100%,2000000,100,0.005,1999900,,,
106,CTCH2102,100%,2000000,15000,0.75,1985000,,,
107,CTCH2103,100%,5000000,94800,1.896,4905200,,,
108,CTD,49%,38834950,34921641,183.5167938,3913309,,,
109,CTF,49%,33467000,153468,0.935847253,33313532,,,
110,CTG,30%,1117021366,934621536,278.9029122,182399830,,,
111,CTI,49%,30869998,685013,4.528622627,30184985,,,
112,CTS,49%,52153922,1858574,7.27271894,50295348,,,
113,CVHM2101,100%,2000000,0,0,2000000,,,
114,CVHM2102,100%,5000000,100,0.002,4999900,,,
115,CVHM2104,100%,5000000,5200,0.104,4994800,,,
116,CVHM2105,100%,2000000,15100,0.755,1984900,,,
117,CVHM2106,100%,3000000,771800,25.72666667,2228200,,,
118,CVIC2101,100%,2000000,1000,0.05,1999000,,,
119,CVIC2103,100%,3000000,15000,0.5,2985000,,,
120,CVNM2101,100%,2000000,100,0.005,1999900,,,
121,CVNM2102,100%,4000000,2000,0.05,3998000,,,
122,CVNM2104,100%,2000000,50000,2.5,1950000,,,
123,CVNM2105,100%,5000000,5000,0.1,4995000,,,
124,CVPB2015,100%,1000000,0,0,1000000,,,
125,CVPB2101,100%,3000000,0,0,3000000,,,
126,CVPB2103,100%,5000000,0,0,5000000,,,
127,CVPB2104,100%,2000000,0,0,2000000,,,
128,CVRE2013,100%,5000000,19500,0.39,4980500,,,
129,CVRE2101,100%,2000000,0,0,2000000,,,
130,CVRE2102,100%,5000000,0,0,5000000,,,
131,CVRE2103,100%,5000000,15000,0.3,4985000,,,
132,CVRE2104,100%,2500000,2000,0.08,2498000,,,
133,CVT,100%,36690887,250337,0.682286585,36440550,,,
134,D2D,49%,14849331,642613,8.831745363,14206718,,,
135,DAG,40.84%,21153112,360651,4.174717942,20792461,,,
136,DAH,49%,16758000,188050,2.290103295,16569950,,,
137,DAT,49%,22542652,1485,0.013443903,22541167,,,
138,DBC,49%,51334316,4096044,16.28398724,47238272,,,
139,DBD,100%,52379000,51630,0.098570038,52327370,,,
140,DBT,0%,0,508595,0,-508595,,,
141,DC4,49%,15679881,33775,0.439598817,15646106,,,
142,DCL,32.57%,18510450,1383953,22.95549204,17126497,,,
143,DCM,49%,259406000,11925407,9.382036385,247480593,,,
144,DGC,49%,83829472,9541112,23.22769866,74288360,,,
145,DGW,49%,21144356,11359701,109.6418508,9784655,,,
146,DHA,49%,7408773,1784382,49.15248339,5624391,,,
147,DHC,49%,27437933,18459060,137.2973358,8978873,,,
148,DHG,100%,130746071,71412776,54.61944321,59333295,,,
149,DHM,49%,15384128,487999,6.473661208,14896129,,,
150,DIG,49%,171666224,8162367,9.703651335,163503857,,,
151,DLG,49%,146661762,7877573,10.96173902,138784189,,,
152,DMC,100%,34727465,19657345,56.60460676,15070120,,,
153,DPG,49%,22049906,324483,3.003233683,21725423,,,
154,DPM,49%,191786000,56362961,59.97645867,135423039,,,
155,DPR,49%,21070000,4654030,45.07840725,16415970,,,
156,DQC,49%,16836113,359621,4.359203387,16476492,,,
157,DRC,49%,58208376,8154893,28.59148445,50053483,,,
158,DRH,49%,29889967,1086394,7.417641553,28803573,,,
159,DRL,49%,4655000,102070,4.474889849,4552930,,,
160,DSN,49%,5920674,2420233,83.42379635,3500441,,,
161,DTA,49%,8849317,14066,0.324388,8835251,,,
162,DTL,49%,30103445,1721,0.011667252,30101724,,,
163,DTT,49%,3994391,14399,0.735674457,3979992,,,
164,DVP,49%,19600000,5203460,54.18013328,14396540,,,
165,DXG,49%,254816986,136724708,109.5021257,118092278,,,
166,DXV,49%,4851000,47250,1.98780811,4803750,,,
167,E1VFVN30,100%,395400000,385660030,97.53667931,9739970,,,
168,EIB,30%,370656871,368546725,331.4356699,2110146,,,
169,ELC,49%,24954839,4052444,33.14104282,20902395,,,
170,EMC,49%,7495693,5620,0.15301304,7490073,,,
171,EVE,100%,41979773,28232161,67.25181911,13747612,,,
172,EVG,49%,51450000,528730,2.097261062,50921270,,,
173,FCM,49%,20090000,860715,8.74346055,19229285,,,
174,FCN,75%,94079253,34283914,48.58869929,59795339,,,
175,FDC,49%,18928694,14164,0.152710601,18914530,,,
176,FIR,49%,13249533,265837,4.094668769,12983696,,,
177,FIT,49%,124817821,2987349,4.884423204,121830472,,,
178,FLC,49%,347898925,17431332,10.22542594,330467593,,,
179,FMC,49%,28836500,4417289,31.2620308,24419211,,,
180,FPT,49%,386706654,386706654,204.0816327,0,,,
181,FRT,49%,38701078,11703147,61.71397466,26997931,,,
182,FTM,49%,24500000,240930,2.006913786,24259070,,,
183,FTS,100%,132267349,28765945,21.74833413,103501404,,,
184,FUCTVGF2,49%,8330000,245822,6.022539628,8084178,,,
185,FUCVREIT,49%,2450000,27590,2.29820908,2422410,,,
186,FUEMAV30,100%,35000000,32717680,93.47908571,2282320,,,
187,FUESSV30,100%,4400000,1875320,42.62090909,2524680,,,
188,FUESSV50,100%,13500000,9503350,70.39518519,3996650,,,
189,FUESSVFL,100%,129000000,126854000,98.33643411,2146000,,,
190,FUEVFVND,100%,528700000,522442644,98.81646378,6257356,,,
191,FUEVN100,100%,5200000,3166130,60.88711538,2033870,,,
192,GAB,49%,6762000,78920,2.381857801,6683080,,,
193,GAS,49%,937835500,50600488,11.0111317,887235012,,,
194,GDT,49%,8397114,2739944,66.59100316,5657170,,,
195,GEG,49%,132875842,98084902,150.6468493,34790940,,,
196,GEX,49%,239239560,39724045,33.88631863,199515515,,,
197,GIL,49%,17640000,2112231,24.436936,15527769,,,
198,GMC,49%,14702587,2509851,34.83839203,12192736,,,
199,GMD,49%,147675198,124248999,171.7074967,23426199,,,
200,GSP,49%,17640000,2636460,30.50187422,15003540,,,
201,GTA,49%,5096000,49895,1.998165828,5046105,,,
202,GTN,100%,250000000,413819,0.1655276,249586181,,,
203,GVR,13%,520000000,24827850,36.72758876,495172150,,,
204,HAG,42.58%,394915851,10775980,6.408354879,384139871,,,
205,HAH,49%,23903547,5129064,43.79047825,18774483,,,
206,HAI,49%,89514571,2314150,5.275962393,87200421,,,
207,HAR,49%,49661549,293782,1.207282322,49367767,,,
208,HAS,49%,3920000,1384564,72.08267389,2535436,,,
209,HAX,49%,23405821,9287970,80.98430222,14117851,,,
210,HBC,49%,113128945,33462663,60.36576137,79666282,,,
211,HCD,49%,13230000,309250,4.770388881,12920750,,,
212,HCM,49%,149882308,147306498,200.5743774,2575810,,,
213,HCM_0307,100%,2000000,0,0,2000000,,,
214,HCM_0506,100%,700000,0,0,700000,,,
215,HCM_0607,100%,1500000,0,0,1500000,,,
216,HCM_0706,100%,1000000,0,0,1000000,,,
217,HCM_0807,100%,900000,0,0,900000,,,
218,HCM_1007,100%,340000,0,0,340000,,,
219,HCMA0307,100%,280000,0,0,280000,,,
220,HCMA0406,100%,2000000,0,0,2000000,,,
221,HCMA0606,100%,620000,0,0,620000,,,
222,HCMA0906,100%,380000,0,0,380000,,,
223,HDB,21.5%,345902495,281826400,378.9566378,64076095,,,
224,HDC,49%,32592760,2514507,15.74474496,30078253,,,
225,HDG,49%,75594758,16565205,44.72074746,59029553,,,
226,HHP,49%,9834213,128010,2.656490133,9706203,,,
227,HHS,49%,134624590,6871668,10.41697675,127752922,,,
228,HID,49%,28794865,653476,4.631466374,28141389,,,
229,HII,49%,15693475,164337,2.137076923,15529138,,,
230,HMC,49%,10290000,250480,4.967771365,10039520,,,
231,HNG,49%,543191408,18471380,6.939854593,524720028,,,
232,HOT,49%,3920000,1220,0.063515202,3918780,,,
233,HPG,49%,2191732125,1179444877,109.8232003,1012287248,,,
234,HPX,49%,129602345,36810829,57.96510921,92791516,,,
235,HQC,49%,233534000,3635639,3.177126855,229898361,,,
236,HRC,49%,14801244,199133,2.745673793,14602111,,,
237,HSG,49%,217866354,41168990,38.56416808,176697364,,,
238,HSL,100%,17167144,1577585,9.189560011,15589559,,,
239,HT1,49%,186979056,10609891,11.58035517,176369165,,,
240,HTI,49%,12225108,3614330,60.33634773,8610778,,,
241,HTL,49%,5880000,5347149,185.5875677,532851,,,
242,HTN,49%,24259508,170042,1.430467962,24089466,,,
243,HTV,49%,6420960,1955684,62.15880237,4465276,,,
244,HU1,49%,4900000,369630,15.39483549,4530370,,,
245,HU3,49%,4899972,467739,19.48111923,4432233,,,
246,HUB,49%,9338084,886650,19.37752751,8451434,,,
247,HVH,49%,18105497,211395,2.38280323,17894102,,,
248,HVN,30%,425487254,129795814,101.6840597,295691440,,,
249,HVX,47.153%,19580401,341800,3.702040347,19238601,,,
250,IBC,31%,25292817,168177,2.144903241,25124640,,,
251,ICT,100%,32185000,152460,0.473698928,32032540,,,
252,IDI,49%,111545857,1648674,3.016374527,109897183,,,
253,IJC,49%,106377688,2109816,4.047603421,104267872,,,
254,ILB,0%,0,0,#DIV/0!,0,,,
255,IMP,49%,32685631,32685203,204.0789603,428,,,
256,ITA,43.77%,410765520,10872298,6.047151087,399893222,,,
257,ITC,49%,39065884,380601,1.988273796,38685283,,,
258,ITD,49%,9341751,202876,4.43206689,9138875,,,
259,JVC,49%,55125083,14824895,54.88406749,40300188,,,
260,KBC,49%,233098471,90653131,79.3683412,142445340,,,
261,KBC12006,100%,4000000,2,0.00005,3999998,,,
262,KDC,100%,279741356,61443325,21.96433373,218298031,,,
263,KDH,49%,315039163,203959623,132.1245665,111079540,,,
264,KHP,49%,28209797,4117799,29.78990394,24091998,,,
265,KMR,100%,56881443,35893169,63.10172019,20988274,,,
266,KOS,49%,80865354,406703,1.026405106,80458651,,,
267,KPF,49%,28404777,1757415,12.62661286,26647362,,,
268,KSB,49%,32814554,1617984,10.06263307,31196570,,,
269,L10,49%,4846100,91547,3.855277692,4754553,,,
270,LBM,49%,4900000,988339,41.16364015,3911661,,,
271,LCG,49%,57451769,3844694,13.65721965,53607075,,,
272,LCM,49%,12070170,2727310,46.11317633,9342860,,,
273,LDG,49%,117704100,1757072,3.046504943,115947028,,,
274,LEC,49%,12789000,437,0.006973467,12788563,,,
275,LGC,49%,94498834,86762399,187.3738679,7736435,,,
276,LGL,49%,25235000,1158779,9.371329907,24076221,,,
277,LHG,49%,24505884,5362703,44.65985327,19143181,,,
278,LIX,49%,15876000,3522085,45.27543822,12353915,,,
279,LM8,49%,4600454,171445,7.605504915,4429009,,,
280,LPB,5%,53731945,34404936,1280.613832,19327009,,,
281,LSS,49%,34300000,1511997,8.996233712,32788003,,,
282,MBB,23.2351%,650293957,588555221,389.5228619,61738736,,,
283,MCG,49%,28179900,2712354,19.64313687,25467546,,,
284,MCP,49%,7384955,28999,0.801381087,7355956,,,
285,MDG,49%,5335625,0,0,5335625,,,
286,MHC,49%,20289412,1334089,13.41897248,18955323,,,
287,MIG,49%,63700000,2566701,8.223179444,61133299,,,
288,MSB,30%,352500000,352500000,333.3333333,0,,,
289,MSH,49%,24504606,3066820,25.54138731,21437786,,,
290,MSN,100%,1180534692,388243777,32.8871129,792290915,,,
291,MSN11906,100%,15000000,519780,3.4652,14480220,,,
292,MSN12001,100%,20000000,2606916,13.03458,17393084,,,
293,MSN12002,100%,30000000,303849,1.01283,29696151,,,
294,MSN12003,100%,30000000,6110,0.020366667,29993890,,,
295,MSN12005,100%,20000000,182970,0.91485,19817030,,,
296,MWG,49%,232961286,232961286,204.0816327,0,,,
297,NAF,100%,59926785,15697093,26.19378463,44229692,,,
298,NAV,49%,3920000,71590,3.727092878,3848410,,,
299,NBB,49%,49233071,804260,3.333830097,48428811,,,
300,NCT,49%,12821800,2457723,39.11901,10364077,,,
301,NHA,49%,13605609,96475,1.447107256,13509134,,,
302,NHH,100%,36440000,19005,0.052154226,36420995,,,
303,NKG,100%,181999868,27696070,15.21763192,154303798,,,
304,NLG,49%,139782623,129262263,188.7219821,10520360,,,
305,NNC,49%,10740800,2027651,38.52658336,8713149,,,
306,NPM11805,100%,5000000,0,0,5000000,,,
307,NPM11907,100%,2100000,0,0,2100000,,,
308,NPM11909,100%,3000000,30000,1,2970000,,,
309,NPM11910,100%,2000000,21884,1.0942,1978116,,,
310,NPM11911,100%,5000000,0,0,5000000,,,
311,NT2,49%,141059254,42752446,61.85336114,98306808,,,
312,NTL,49%,29885075,3860940,26.36590133,26024135,,,
313,NVL,38.3%,414306056,81862254,51.58977608,332443802,,,
314,NVT,100%,90500000,102420,0.113171271,90397580,,,
315,OCB,22%,241099395,241049335,454.4510763,50060,,,
316,OGC,49%,147000000,721168,1.001205053,146278832,,,
317,OPC,49%,13022867,1326584,20.78892678,11696283,,,
318,PAC,49%,22771136,6207250,55.63120409,16563886,,,
319,PC1,49%,93682197,19358169,42.17073106,74324028,,,
320,PDN,49%,9075757,115914,2.606495344,8959843,,,
321,PDR,49%,238518238,19687478,16.84505423,218830760,,,
322,PET,49%,42434060,3328890,16.00990587,39105170,,,
323,PGC,49%,29567892,2079136,14.3504809,27488756,,,
324,PGD,49%,44099522,42108385,194.8671453,1991137,,,
325,PGI,49%,43471708,18385575,86.31264645,25086133,,,
326,PHC,49%,12616647,562368,9.096630792,12054279,,,
327,PHR,49%,66394607,16000804,49.18276275,50393803,,,
328,PIT,49%,7447679,112061,3.070700528,7335618,,,
329,PJT,0%,0,347423,0,-347423,,,
330,PLP,49%,19600000,973403,10.1353915,18626597,,,
331,PLX,20%,258775616,222833281,430.5530877,35942335,,,
332,PME,100%,75011625,67197902,89.58331725,7813723,,,
333,PMG,49%,22704776,11669606,104.8921269,11035170,,,
334,PNC,49%,5409718,88341,3.33266457,5321377,,,
335,PNJ,49%,111530057,111530057,204.0816327,0,,,
336,POM,49%,137041404,22174413,33.02206688,114866991,,,
337,POW,49%,1147517084,69318557,12.32804677,1078198527,,,
338,PPC,49%,159855150,47975014,61.24806854,111880136,,,
339,PSH,0%,0,100,0,-100,,,
340,PTB,49%,23813726,8987610,77.02306319,14826116,,,
341,PTC,49%,8819999,56914,1.316905143,8763085,,,
342,PTL,49%,49000000,92044,0.383356935,48907956,,,
343,PVD,49%,206557436,30892043,30.52177009,175665393,,,
344,PVT,49%,158589110,40443580,52.04513624,118145530,,,
345,PXI,49%,14700000,283510,3.935998889,14416490,,,
346,PXS,49%,29400000,6693888,46.46597251,22706112,,,
347,QCG,49%,134813361,1404793,2.126587801,133408568,,,
348,RAL,49%,5916750,334766,11.54681064,5581984,,,
349,RDP,49%,23343887,227210,1.986361044,23116677,,,
350,REE,49%,151928832,151923587,204.0745872,5245,,,
351,RIC,49%,14067002,9111781,132.1921432,4955221,,,
352,ROS,49%,278123079,9683864,7.10584243,268439215,,,
353,S4A,49%,20678000,26980,0.266279256,20651020,,,
354,SAB,100%,641281186,403036167,62.84858745,238245019,,,
355,SAM,49%,171498623,2828269,3.365611601,168670354,,,
