STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,,,
468,VNG,49%,47665537,265643,1.137359622,47399894,,,
469,VNL,49%,4410000,688010,31.83904854,3721990,,,
470,VNM,100%,2089955445,1146393511,54.85253352,943561934,,,
471,VNS,49%,33251004,13500941,82.86348531,19750063,,,
472,VOS,49%,68600000,1689850,5.027220801,66910150,,,
473,VPB,15%,379495194,515104286,904.8938241,-135609092,,,
474,VPD,49%,52228918,43705,0.170774891,52185213,,,
475,VPG,0%,0,753778,0,-753778,,,
476,VPH,49%,46725322,11286958,49.29791209,35438364,,,
477,VPI,49%,97999951,655970,1.366035668,97343981,,,
478,VPS,49%,11985788,164878,2.807372484,11820910,,,
479,VRC,49%,24500000,1140816,9.502840483,23359184,,,
480,VRE,49%,1141121020,710466789,127.0620904,430654231,,,
481,VRE12007,100%,20000000,0,0,20000000,,,
482,VSC,49%,27010171,3857587,29.1468963,23152584,,,
483,VSH,49%,115758210,27619296,48.692797,88138914,,,
484,VSI,49%,6468000,88860,2.803756011,6379140,,,
485,VTB,49%,5871204,201334,6.998321201,5669870,,,
486,VTO,49%,39134666,1808228,9.429647935,37326438,,,
487,YBM,49%,7006941,20227,0.589124296,6986714,,,
488,YEG,100%,31279968,8197211,26.20594433,23082757,,,
