Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
PTL,VN000000PTL9,BBG001645YS2,Công ty Cổ phần Victory Capital,"100.000.000,00","98.865.080,00",15/09/2010,
PVD,VN000000PVD2,BBG000QFVBX2,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,"556.296.006,00","555.880.006,00",15/11/2006,
PVP,VN000000PVP6,BBG00FJ8XTK6,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,"94.275.028,00","94.275.028,00",26/12/2022,
PVT,VN000000PVT8,BBG000LZ5FZ1,Tổng Công ty Cổ phần Vận tải Dầu khí,"323.651.246,00","323.651.246,00",27/11/2007,
PXS,VN000000PXS6,BBG000QZ8Z07,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,"0,00","59.999.998,00",27/05/2010,
QBS,VN000000QBS0,BBG007H4BS94,Công ty Cổ phần Xuất Nhập khẩu Quảng Bình,"69.329.928,00","69.329.928,00",4/11/14,
QCG,VN000000QCG3,BBG000JVZTR9,Công ty Cổ phần Quốc Cường Gia Lai,"275.129.310,00","275.129.141,00",27/07/2010,
RAL,VN000000RAL5,BBG000QFVDC1,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,"23.547.419,00","23.547.419,00",23/10/2006,
RDP,VN000000RDP0,BBG000PBYT51,Công ty Cổ phần Rạng Đông Holding,"49.069.803,00","49.069.803,00",21/08/2009,
REE,VN000000REE2,BBG000Q5Y2H9,Công ty Cổ phần Cơ Điện Lạnh,"409.714.260,00","408.706.345,00",18/07/2000,
ROS,VN000000ROS1,BBG00DQ063Z1,Công ty Cổ phần Xây dựng FLC FAROS,"0,00","567.598.121,00",24/08/2016,
S4A,VN000000S4A5,BBG00CSQ4NB8,Công ty Cổ phần Thủy điện Sê San 4A,"42.200.000,00","42.200.000,00",26/04/2016,
SAB,VN000000SAB4,BBG000V9NP31,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn,"641.281.186,00","641.281.186,00",25/11/2016,
SAM,VN000000SAM1,BBG000Q1YHR4,Công ty Cổ phần SAM Holdings,"379.960.971,00","379.960.971,00",18/07/2000,
SAV,VN000000SAV2,BBG000MC1X95,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,"18.363.175,00","17.967.405,00",26/04/2002,
SBA,VN000000SBA4,BBG000QVRG16,Công ty Cổ phần Sông Ba,"60.488.261,00","60.488.261,00",28/04/2010,
SBT,VN000000SBT4,BBG000DWVH11,Công ty Cổ phần Thành Thành Công - Biên Hòa,"740.500.993,00","740.500.993,00",25/02/2008,
SBV,VN000000SBV0,BBG00DR8HYH3,Công ty Cổ phần Siam Brothers Việt Nam,"27.366.476,00","27.323.976,00",3/5/17,
SC5,VN000000SC59,BBG000QWQNK9,Công ty Cổ phần Xây dựng Số 5,"14.984.550,00","14.983.499,00",10/4/07,
SCD,VN000000SCD6,BBG000QMWS69,Công ty Cổ phần Nước giải khát Chương Dương,"8.500.000,00","8.477.640,00",12/11/06,
SCR,VN000000SCR6,BBG0018DKFN9,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,"395.661.775,00","395.661.775,00",6/10/16,
SCS,VN000000SCS4,BBG00H5KYJR4,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,"94.379.182,00","94.379.182,00",26/06/2018,
SFC,VN000000SFC1,BBG000PQF917,Công ty Cổ phần Nhiên liệu Sài Gòn,"11.291.459,00","11.234.819,00",16/06/2004,
SFG,VN000000SFG2,BBG007KCPRX2,Công ty Cổ phần Phân bón Miền Nam,"47.897.333,00","47.897.333,00",17/11/2014,
SFI,VN000000SFI8,BBG000QN56H3,Công ty Cổ phần Đại lý Vận tải SAFI,"23.816.046,00","22.086.034,00",8/12/06,
SGN,VN000000SGN6,BBG00BL5GNC9,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,"33.581.691,00","33.533.591,00",4/7/18,
SGR,VN000000SGR7,BBG008MWKWZ6,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,"60.000.000,00","59.999.989,00",21/12/2017,
SGT,VN000000SGT3,BBG000V38SM4,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,"148.003.518,00","148.003.208,00",10/1/08,
SHA,VN000000SHA1,BBG003TTCWX8,Công ty Cổ phần Sơn Hà Sài Gòn,"33.446.675,00","33.446.675,00",27/09/2016,
